"Format","PiBoSo CSV File"
"Venue","Circuit International d'Essay - Short"
"Vehicle","CRG Mini60"
"User","Another Stig"
"Data Source","Kart Racing Pro"
"Comment",""
"Date","11/19/23"
"Time","16:57:27"
"Sample Rate","10"
"Duration","387.398"
"Segment","Session"
"Beacon Markers","46.014, 86.776, 127.575, 168.513, 209.304, 249.994, 290.632, 331.401, 379.036"

"Time","Distance","Engine","CylHeadTemp","WaterTemp","Gear","Speed","LatAcc","LonAcc","Steer","Throttle","Brake","FrontBrakes","Clutch","YawVel","PosX","PosY"
"s","m","rpm","C","C","","km/h","G","G","deg","%","%","%","%","deg/s","m","m"

"10.101","133.843","11305","114.299400","0.000000","0","79.860835","-0.079757","0.191713","-1.217323","100.000000","0.000000","0.000000","0.000000","-3.507353","82.768036","52.455925"
"10.201","136.069","11437","114.360237","0.000000","0","80.522836","-0.109465","0.191814","-1.217323","100.000000","0.000000","0.000000","0.000000","-2.390861","82.553314","50.240639"
"10.301","138.313","11495","114.418831","0.000000","0","81.222034","-0.091462","0.203139","-1.217323","100.000000","0.000000","0.000000","0.000000","-2.433475","82.346703","48.005680"
"10.401","140.576","11609","114.475670","0.000000","0","81.856165","-0.107026","0.174573","-1.124522","100.000000","0.000000","0.000000","0.000000","-2.879844","82.148819","45.751205"
"10.501","142.857","11659","114.529419","0.000000","0","82.517260","-0.062882","0.178694","-0.616850","100.000000","0.000000","0.000000","0.000000","-1.191610","81.959564","43.478489"
"10.601","145.155","11744","114.581383","0.000000","0","83.137225","-0.046416","0.168139","-0.442167","100.000000","0.000000","0.000000","0.000000","-0.962270","81.774979","41.187531"
"10.701","147.471","11865","114.630219","0.000000","0","83.724802","-0.006102","0.182601","-0.398496","100.000000","0.000000","0.000000","0.000000","-0.302876","81.593742","38.879253"
"10.801","149.802","11897","114.676796","0.000000","0","84.343078","-0.015236","0.168018","-0.218354","100.000000","0.000000","0.000000","0.000000","-0.568578","81.413025","36.554359"
"10.901","152.150","12010","114.720795","0.000000","0","84.891749","-0.027770","0.162196","-0.174683","100.000000","0.000000","0.000000","0.000000","-0.110573","81.232773","34.213203"
"11.001","154.514","12063","114.762169","0.000000","0","85.462173","-0.006574","0.151437","-0.174683","100.000000","0.000000","0.000000","0.000000","0.018384","81.052650","31.856270"
"11.101","156.893","12139","114.801018","0.000000","0","86.002844","0.001745","0.155559","-0.174683","100.000000","0.000000","0.000000","0.000000","-0.111768","80.871986","29.484159"
"11.201","159.287","12217","114.837532","0.000000","0","86.528842","0.001866","0.148664","-0.174683","100.000000","0.000000","0.000000","0.000000","-0.078211","80.690849","27.097021"
"11.301","161.696","12248","114.872131","0.000000","0","87.061233","0.023094","0.134652","0.292989","100.000000","0.000000","0.000000","0.000000","0.472010","80.508339","24.695614"
"11.401","164.118","12363","114.904083","0.000000","0","87.533329","0.088382","0.154540","0.878966","100.000000","0.000000","0.000000","0.000000","2.276596","80.321533","22.280491"
"11.501","166.554","12398","114.933983","0.000000","0","88.039236","0.070675","0.130025","0.878966","100.000000","0.000000","0.000000","0.000000","1.579644","80.126160","19.852243"
"11.601","169.003","12471","114.962074","0.000000","0","88.500874","0.090575","0.129769","0.923190","100.000000","0.000000","0.000000","0.000000","2.319192","79.920654","17.411512"
"11.701","171.465","12534","114.987701","0.000000","0","88.969167","0.098932","0.141187","0.923190","100.000000","0.000000","0.000000","0.000000","2.154779","79.704475","14.958787"
"11.801","173.940","12581","115.011971","0.000000","0","89.411593","0.102512","0.109050","0.923190","100.000000","0.000000","0.000000","0.000000","2.037941","79.477478","12.494245"
"11.901","176.427","12650","115.033371","0.000000","0","89.844729","0.116880","0.129218","1.393078","100.000000","0.000000","0.000000","0.000000","2.719614","79.239906","10.018782"
"12.001","178.922","12130","115.033241","0.000000","0","89.639491","0.306162","-0.514824","3.681705","58.553272","93.743889","0.000000","0.000000","8.723588","78.987190","7.536183"
"12.101","181.371","10555","114.699883","0.000000","0","87.047301","0.554569","-0.820877","4.289794","0.000000","100.000000","0.000000","0.000000","22.406513","78.703918","5.101410"
"12.201","183.740","9753","114.318657","0.000000","0","84.072656","0.772094","-0.849889","4.151593","0.000000","82.063499","0.000000","0.000000","26.079393","78.373352","2.751233"
"12.301","186.018","9471","113.939629","0.000000","0","80.872208","1.093237","-0.892358","6.241209","0.000000","92.386063","0.000000","0.000000","31.086121","77.977150","0.498034"
"12.401","188.195","9002","113.562813","0.000000","0","77.767781","1.248023","-0.831519","9.718375","0.000000","78.350601","0.000000","0.000000","44.673721","77.495483","-1.647726"
"12.501","190.263","9164","113.188194","0.000000","0","74.536613","1.378946","-0.706278","13.084978","0.000000","62.952103","0.000000","0.000000","47.176907","76.915741","-3.675724"
"12.601","192.215","9387","112.815781","0.000000","0","71.339605","1.735555","-0.796176","17.120481","0.000000","52.785919","0.000000","0.000000","45.307552","76.229462","-5.579188"
"12.701","194.039","9131","112.445549","0.000000","0","68.502942","1.586939","-0.679681","21.609287","0.000000","52.785919","0.000000","0.000000","46.070293","75.431641","-7.344808"
"12.801","195.732","8846","112.077515","0.000000","0","65.537045","1.819541","-0.824283","25.357330","0.000000","50.733139","0.000000","0.000000","48.769543","74.530991","-8.971409"
"12.901","197.411","8712","111.711655","0.000000","0","62.443137","1.826550","-0.642375","26.860970","0.000000","46.920822","0.000000","0.000000","62.028481","73.527985","-10.434091"
"13.001","199.137","8265","111.347977","0.000000","0","59.883556","1.702567","-0.587426","29.055618","0.000000","36.461388","0.000000","0.000000","56.904594","72.435043","-11.731189"
"13.101","200.902","8132","110.986481","0.000000","0","57.292139","1.782446","-0.537474","33.411751","0.000000","20.723362","0.000000","0.000000","66.999962","71.269661","-12.862164"
"13.201","202.695","7969","110.627144","0.000000","0","55.293304","1.760280","-0.336953","34.688740","0.000000","2.150538","0.000000","0.000000","76.090973","70.041344","-13.822845"
"13.301","204.513","7734","110.270432","0.000000","0","53.262124","1.835721","-0.374712","35.451614","4.985337","0.097752","0.000000","0.000000","71.894066","68.760704","-14.612730"
"13.401","206.346","8298","110.157883","0.000000","0","52.139174","1.779456","0.205514","34.174625","100.000000","0.000000","0.000000","0.000000","86.093605","67.439476","-15.224420"
"13.501","208.234","8217","110.233650","0.000000","0","52.161544","1.857482","0.268833","34.307301","100.000000","0.000000","0.000000","0.000000","58.719746","66.062981","-15.668043"
"13.601","210.183","8193","110.307167","0.000000","0","52.140224","1.771843","0.209553","34.799297","100.000000","0.000000","0.000000","0.000000","56.707088","64.643036","-15.940988"
"13.701","212.186","8158","110.379433","0.000000","0","52.303780","1.671139","0.256397","34.843525","100.000000","0.000000","0.000000","0.000000","52.711983","63.197750","-16.041830"
"13.801","214.234","8082","110.450081","0.000000","0","52.746398","1.373766","0.253002","35.744602","100.000000","0.000000","0.000000","0.000000","39.074944","61.742352","-15.982367"
"13.901","216.307","8136","110.519463","0.000000","0","53.231393","1.321715","0.194785","36.844692","100.000000","0.000000","0.000000","0.000000","48.765720","60.285225","-15.785362"
"14.001","218.362","8282","110.591385","0.000000","0","53.616062","1.436736","0.176932","35.678265","100.000000","0.000000","0.000000","0.000000","61.585987","58.840191","-15.453693"
"14.101","220.364","8381","110.665901","0.000000","0","53.983555","1.530220","0.215301","34.263073","100.000000","0.000000","0.000000","0.000000","64.414131","57.424248","-14.981025"
"14.201","222.287","8448","110.741493","0.000000","0","54.249465","1.655043","0.168819","31.593010","100.000000","0.000000","0.000000","0.000000","66.490417","56.054874","-14.364448"
"14.301","224.120","8490","110.817841","0.000000","0","54.487628","1.700712","0.217735","27.668070","100.000000","0.000000","0.000000","0.000000","62.311432","54.753952","-13.600754"
"14.401","225.861","8471","110.893753","0.000000","0","54.808999","1.688673","0.223726","24.412025","100.000000","0.000000","0.000000","0.000000","52.456291","53.537945","-12.694811"
"14.501","227.512","8457","110.968842","0.000000","0","55.228072","1.592443","0.178599","22.797825","100.000000","0.000000","0.000000","0.000000","44.910046","52.417610","-11.657413"
"14.601","229.076","8449","111.043488","0.000000","0","55.759272","1.427515","0.175515","21.808298","100.000000","0.000000","0.000000","0.000000","41.872131","51.396889","-10.504066"
"14.701","230.552","8488","111.117989","0.000000","0","56.368645","1.220164","0.225511","19.856884","100.000000","0.000000","0.000000","0.000000","41.472248","50.472519","-9.252872"
